,score
loan_id=T4C0CIN1Z5,1.0
loan_id=T4WSMW1A7J,1.0
loan_id=VF6EQQ20WG,1.0
loan_id=VDVGVA40TQ,1.0
loan_id=VCIWEXTXZQ,1.0
loan_id=VBAHWFTTG2,1.0
loan_id=V9WTIU5TN5,1.0
loan_id=V8FX4IWYH2,1.0
loan_id=UZ6009R5HB,1.0
loan_id=UMJIVCQUTB,1.0
loan_id=U7V7LU0M6F,1.0
loan_id=TZDNMT7BIX,1.0
loan_id=TYVA5O598T,1.0
loan_id=TX5TYNICG4,1.0
loan_id=TWTUMCV2KM,1.0
loan_id=TUVFPHJLP8,1.0
loan_id=TUDY4DX8I3,1.0
loan_id=TNXI509W9P,1.0
loan_id=TDZCNSKTYN,1.0
loan_id=T9U2ZRWGKB,1.0
loan_id=T860DBCQLI,1.0
loan_id=I95YDUFBPB,1.0
loan_id=I1N00E0O3O,1.0
employment_type_loan_purpose=Unemployed_Home,1.0
loan_id=52NQKN9AEP,1.0
loan_id=65KHZHVVN8,1.0
loan_id=645CBSP4NW,1.0
loan_id=63PPA05VSC,1.0
loan_id=5RTOO2X15G,1.0
loan_id=5LCW5FC1HO,1.0
loan_id=5H6HSDF9CL,1.0
loan_id=5CCCEH6P5I,1.0
loan_id=58AZ5A93XF,1.0
loan_id=57EWR4D3QO,1.0
loan_id=54G6YX4AN8,1.0
loan_id=51YZBMZV9I,1.0
loan_id=81ZUZZA5SD,1.0
loan_id=50TXFBHT66,1.0
loan_id=504TT2I71W,1.0
loan_id=4UTW0061JO,1.0
loan_id=4UOEIP7UEO,1.0
loan_id=4SWCA9BYWP,1.0
loan_id=4PL4OVA1B4,1.0
loan_id=4KROGCH56V,1.0
loan_id=4C9MI0RVGZ,1.0
loan_id=44JN70NO2T,1.0
loan_id=426T5DPT03,1.0
loan_id=66GOGBKM1W,1.0
loan_id=6AYAMXONWD,1.0
loan_id=6DOZEQMPYN,1.0
loan_id=6FI10F3TJ3,1.0
loan_id=7TBAXY3PAM,1.0
loan_id=7RGV7C7L65,1.0
loan_id=7LW9LRWK8V,1.0
loan_id=7L7WVK3BQI,1.0
loan_id=7HQF30ESQ8,1.0
loan_id=7D4592WHZF,1.0
loan_id=7BAR01679J,1.0
loan_id=7AKIDEESJQ,1.0
loan_id=7A39J7NPB3,1.0
loan_id=7790ZC52NU,1.0
loan_id=7446FO0H8M,1.0
loan_id=73GZ7ET99K,1.0
loan_id=730Q3TYMJM,1.0
loan_id=71T1CLVE33,1.0
loan_id=71OV7OSFPX,1.0
loan_id=6Z3I89T6BI,1.0
loan_id=6WW9AESZN8,1.0
loan_id=6RK2TQMZBW,1.0
loan_id=6RHBKFMHKZ,1.0
loan_id=6NC0TMQPNC,1.0
loan_id=6GNLBQYSXE,1.0
loan_id=3ZEFJI0DUG,1.0
loan_id=3WKW7GWB2B,1.0
loan_id=3W7QP4IZOZ,1.0
loan_id=2M4IW1R1DZ,1.0
loan_id=28OSXNC90U,1.0
loan_id=287Z9GQKSL,1.0
loan_id=27TK27SY1E,1.0
loan_id=22AS9BSOPO,1.0
loan_id=1TLDT30RYU,1.0
loan_id=1MBN6VLZHX,1.0
loan_id=1ITV875K45,1.0
loan_id=1E2ZVNHKAG,1.0
loan_id=14Z97I32NZ,1.0
loan_id=11XUSSM0UE,1.0
loan_id=112W3AIMJT,1.0
loan_id=10TPH55L2B,1.0
loan_id=0XRPVFYMSH,1.0
loan_id=0WVD6J2YIU,1.0
loan_id=0W4486FYB5,1.0
loan_id=0Q6ETZOPZ1,1.0
loan_id=0PZU2L2NZK,1.0
loan_id=0FL50HJMMX,1.0
loan_id=0E9FGH8QL1,1.0
loan_id=0ATO8BK9UG,1.0
loan_id=08ICTY4Z2D,1.0
